"Name","Volume","Quantity","Caffeine","Date"
"レッドブル","250","1","80","2024/01/01 0:00:00"
"グレープタイザー","-1","1","0","2024/01/01 0:00:00"
"レッドブル","250","1","80","2024/01/02 0:00:00"
"銀のねぶた","-1","1","0","2024/01/02 0:00:00"
"青のねぶた","-1","1","0","2024/01/02 0:00:00"
"エフ・ラベルニュ","-1","1","0","2024/01/03 0:00:00"
"レッドブル","250","1","80","2024/01/03 0:00:00"
"サントリー プレミアムモルツ 香るエール","-1","1","0","2024/01/04 0:00:00"
"赤玉パンチ","-1","1","0","2024/01/04 0:00:00"
"ジンジャーエール","-1","1","0","2024/01/04 0:00:00"
"C.C.レモン 500ml PET","500","1","0","2024/01/04 0:00:00"
"レッドブル","250","1","80","2024/01/05 0:00:00"
"ビール","-1","1","0","2024/01/05 0:00:00"
"レッドブル","250","1","80","2024/01/06 0:00:00"
"三ツ矢 特濃 グレープスカッシュ","-1","1","0","2024/01/06 0:00:00"
"ZONe Ver.2.2.0 type-T","-1","1","150","2024/01/07 0:00:00"
"レッドブル","250","1","80","2024/01/08 0:00:00"
"リボンナポリン","-1","1","0","2024/01/08 0:00:00"
"青のねぶた","-1","1","0","2024/01/08 0:00:00"
"レッドブル","250","1","80","2024/01/09 0:00:00"
"銀のねぶた","-1","1","0","2024/01/09 0:00:00"
"レッドブル","250","1","80","2024/01/10 0:00:00"
"レッドブル","250","1","80","2024/01/11 0:00:00"
"青のねぶた","-1","1","0","2024/01/11 0:00:00"
"ZIMA","-1","1","0","2024/01/11 0:00:00"
"モンスターエナジー パイプラインパンチ","355","1","142","2024/01/12 0:00:00"
"アサヒスーパードライ","-1","1","0","2024/01/12 0:00:00"
"レッドブル","250","1","80","2024/01/13 0:00:00"
"青のねぶた","-1","1","0","2024/01/13 0:00:00"
"レッドブル パープルエディション","-1","1","80","2024/01/14 0:00:00"
"赤のねぶた","-1","1","0","2024/01/14 0:00:00"
"金のねぶた","-1","1","0","2024/01/14 0:00:00"
"レッドブル","473","1","151","2024/01/15 0:00:00"
"赤のねぶた","-1","1","0","2024/01/15 0:00:00"
"金のねぶた","-1","1","0","2024/01/15 0:00:00"
"モンスターエナジー","355","1","142","2024/01/16 0:00:00"
"赤のねぶた","-1","1","0","2024/01/16 0:00:00"
"レッドブル","250","1","142","2024/01/17 0:00:00"
"金のねぶた","-1","1","0","2024/01/17 0:00:00"
"ペプシコーラ","500","1","0","2024/01/18 0:00:00"
"赤のねぶた","-1","1","0","2024/01/18 0:00:00"
"ドクターペッパー","350","1","0","2024/01/19 0:00:00"
"コカ・コーラ","160","1","0","2024/01/19 0:00:00"
"金のねぶた","-1","1","0","2024/01/19 0:00:00"
"赤のねぶた","-1","1","0","2024/01/19 0:00:00"
"青のねぶた","-1","1","0","2024/01/20 0:00:00"
"赤のねぶた","-1","1","0","2024/01/20 0:00:00"
"響","-1","1","0","2024/01/20 0:00:00"
"POP ホワイトソーダ","-1","1","0","2024/01/21 0:00:00"
"プルーンFe 1日分の鉄分 のむヨーグルト 190g","-1","1","0","2024/01/22 0:00:00"
"チルアウト","250","1","0","2024/01/22 0:00:00"
"コカ･コーラ ゼロカフェイン","-1","1","0","2024/01/23 0:00:00"
"銀のねぶた","-1","1","0","2024/01/23 0:00:00"
"ガラナアンタルチカ","-1","1","0","2024/01/24 0:00:00"
"金のねぶた","-1","1","0","2024/01/24 0:00:00"
"赤のねぶた","-1","1","0","2024/01/24 0:00:00"
"蘋果西打","-1","1","0","2024/01/25 0:00:00"
"三ツ矢 PREMIUM SWEET PET","500","1","0","2024/01/25 0:00:00"
"赤のねぶた","-1","1","0","2024/01/26 0:00:00"
"黒松沙士","-1","1","0","2024/01/26 0:00:00"
"レッドブル","250","1","0","2024/01/27 0:00:00"
"赤のねぶた","-1","1","0","2024/01/27 0:00:00"
"金のねぶた","-1","1","0","2024/01/27 0:00:00"
"カバ　ポエマ　ブリュット・ロゼ","-1","1","0","2024/01/28 0:00:00"
"レッドブル","250","1","0","2024/01/29 0:00:00"
"赤のねぶた","-1","1","0","2024/01/29 0:00:00"
"レッドブル","250","1","0","2024/01/30 0:00:00"
"POPメロンソーダ","-1","1","0","2024/01/30 0:00:00"
"ガラナアンタルチカ","-1","1","0","2024/01/31 0:00:00"
"赤のねぶた","-1","1","0","2024/01/31 0:00:00"
"レッドブル","250","1","0","2024/02/01 0:00:00"
"金のねぶた","-1","1","0","2024/02/01 0:00:00"
"プルーンFe 1日分の鉄分 のむヨーグルト 190g","-1","1","0","2024/02/02 0:00:00"
"ファンタオレンジ","500","1","0","2024/02/02 0:00:00"
"レッドブル","250","1","0","2024/02/03 0:00:00"
"プルーンFe 1日分の鉄分 のむヨーグルト 190g","-1","1","0","2024/02/04 0:00:00"
"ユンケルローヤル・C3","-1","1","30","2024/02/05 0:00:00"
"金のねぶた","-1","1","0","2024/02/05 0:00:00"
"レッドブル","250","1","80","2024/02/06 0:00:00"
"ザ・プレミアム・モルツ 〈ジャパニーズエール〉春空エール","-1","1","0","2024/02/06 0:00:00"
"レッドブル","250","1","80","2024/02/07 0:00:00"
"ファンタグレープ","500","1","0","2024/02/07 0:00:00"
"レッドブル","250","1","80","2024/02/08 0:00:00"
"プルーンFe 1日分の鉄分 のむヨーグルト 190g","-1","1","0","2024/02/08 0:00:00"
"ファンタオレンジ","500","1","0","2024/02/08 0:00:00"
"レッドブル","250","1","80","2024/02/09 0:00:00"
"プルーンFe 1日分の鉄分 のむヨーグルト 190g","-1","1","0","2024/02/09 0:00:00"
"銀のねぶた","-1","1","0","2024/02/09 0:00:00"
"レッドブル","250","1","80","2024/02/11 0:00:00"
"ファンタメロン","-1","1","0","2024/02/11 0:00:00"
"アサヒスーパードライ","-1","1","0","2024/02/11 0:00:00"
"青のねぶた","-1","1","0","2024/02/11 0:00:00"
"モンスター ロッシ","-1","1","124","2024/02/12 0:00:00"
"赤のねぶた","-1","1","0","2024/02/12 0:00:00"
"レッドブル","355","1","114","2024/02/13 0:00:00"
"BLUE MOON","-1","1","0","2024/02/13 0:00:00"
"レッドブル サマーエディション","-1","1","80","2024/02/14 0:00:00"
"金のねぶた","-1","1","0","2024/02/14 0:00:00"
"ZONe Big Luck","-1","1","75","2024/02/15 0:00:00"
"プルーンFe 1日分の鉄分 のむヨーグルト 190g","-1","1","0","2024/02/15 0:00:00"
"レッドブル","250","1","80","2024/02/15 0:00:00"
"レッドブル","250","1","80","2024/02/17 0:00:00"
"赤のねぶた","-1","1","0","2024/02/17 0:00:00"
"レッドブル","250","1","80","2024/02/18 0:00:00"
"ファンタメロン","-1","1","0","2024/02/18 0:00:00"
